标题,小区,年限,户型,面积,楼层,单价,装修,总价,地址1,地址2,地址3,发布日期,url
暖山文昌西路双拼别墅位于小区第6排环境优美品质楼盘,暖山别墅,2013,5室2厅3卫,275,共1层,13090,精装修,360,仪征市,仪征市,353省道,2018年05月18日,https://yangzhou.anjuke.com/prop/view/A1237407402?from=filter&spread=commsearch_p&position=41&kwtype=filter&now_time=1529160636
中海运河丹堤花园洋房+家具家电齐全+产权车位 价格可议,中海运河丹堤,2016,3室2厅2卫,110,中层(共8层),14436,精装修,158.8,邗江,扬州大学城,周庄河支路,2018年05月28日,https://yangzhou.anjuke.com/prop/view/A1258117212?from=filter&spread=commsearch_p&position=40&kwtype=filter&now_time=1529160636
{卓杰}急售精装依云城邦+两房送一小书房+送车库富川瑞园阳光,依云城邦,2011,3室2厅1卫,90,中层(共6层),13111,精装修,118,邗江,扬州大学城,依人路,2018年06月01日,https://yangzhou.anjuke.com/prop/view/A1264207242?from=filter&spread=commsearch_p&position=39&kwtype=filter&now_time=1529160636
崇文苑旁春江花园精致2房南北通透家电齐全提包入住靠砚池金轮星,春江花园,2012,2室2厅1卫,73,低层(共11层),16410,精装修,119.8,开发,文汇广场,扬子江中路471号,2018年06月05日,https://yangzhou.anjuke.com/prop/view/A1269035967?from=filter&spread=commsearch_p&position=38&kwtype=filter&now_time=1529160636
金鑫集团缤格汇 扬州商城旁边 滨格汇公寓+沿街商靠万达广场,Bingo缤格汇,2018,1室1厅1卫,37,中层(共27层),10810,精装修,40,邗江,汽车西站,"江阳中路,近新城河路",2018年06月09日,https://yangzhou.anjuke.com/prop/view/A1275561777?from=filter&spread=commsearch_p&position=37&kwtype=filter&now_time=1529160636
怡新花园毛坯靠近皇都漫城东悦府广陵世家香槟园扬州大桥交通便利,怡新花园,2012,3室2厅1卫,110,低层(共11层),11636,毛坯,128,广陵,曲江公园,明发路,2018年06月13日,https://yangzhou.anjuke.com/prop/view/A1281096462?from=filter&spread=commsearch_p&position=36&kwtype=filter&now_time=1529160636
"巴黎春天 西区中心地带,临西区大润发、市人医、引潮河风光带",凯莱巴黎春天,2005,6室2厅3卫,122,高层(共6层),13770,精装修,168,邗江,大润发邗江店,望月路139号,2018年05月23日,https://yangzhou.anjuke.com/prop/view/A1248605958?from=filter&spread=commsearch_p&position=35&kwtype=filter&now_time=1529160636
湖滨名都小高层低层三房+香颂溪岸+新盛花苑+金地酩悦+火车站,湖滨名都,2016,3室2厅2卫,128,低层(共24层),13671,毛坯,175,邗江,京华城,文汇西路,2018年06月07日,https://yangzhou.anjuke.com/prop/view/A1272904293?from=filter&spread=commsearch_p&position=34&kwtype=filter&now_time=1529160636
万达商圈邻力宝广场润扬广场近328国道生活工作方便,万达小区,2016,2室2厅1卫,89,低层(共33层),16292,毛坯,145,江都市,龙城路,江淮路5号,2018年06月08日,https://yangzhou.anjuke.com/prop/view/A1274143053?from=filter&spread=commsearch_p&position=33&kwtype=filter&now_time=1529160636
欧尚宝龙广场旁光明铂悦华府 毛坯三房 25楼 包更名 好楼层,光明铂悦华府,2015,3室2厅1卫,103,高层(共33层),12330,毛坯,127,邗江,汽车西站,"维扬路,近兴扬路",2018年06月14日,https://yangzhou.anjuke.com/prop/view/A1282534563?from=filter&spread=commsearch_p&position=32&kwtype=filter&now_time=1529160636
