标题	小区	年限	户型	面积	楼层	单价	装修	总价	地址1	地址2	地址3	发布日期	url
梅岭房67平方 四楼的一楼 三室一厅带院子165万	梅岭东路12号小区	1999	3室1厅1卫	67	共4层	24626	简单装修	165	邗江	汽车西站	梅岭东路12号	2018年8月5日	https://yangzhou.anjuke.com/prop/view/A1353134037?from=filter&spread=commsearch_p&position=858&kwtype=filter&now_time=1538808710
梅岭本部梅岭佳园梅小梅中 中间位置 房龄新靠近沁园 莱茵苑	梅岭佳园	2007	3室1厅1卫	90	共1层	24311	精装修	218.8	维扬	漕河	梅岭东路9号	2018年9月9日	https://yangzhou.anjuke.com/prop/view/A1405410865?from=filter&spread=commsearch_p&position=2780&kwtype=filter&now_time=1538809110
瘦西湖万科花园 品质小区 豪华装修五房 楼层好提包入住	万科城	2012	5室4厅2卫	144	共5层	24305	豪华装修	350	维扬	瘦西湖	平综路	2018年9月11日	https://yangzhou.anjuke.com/prop/view/A1408539378?from=filter&spread=commsearch_p&position=928&kwtype=filter&now_time=1538808722
锦旺苑小区 简装 2室2厅1卫 62平米	锦旺苑小区	2000	2室2厅1卫	62	共3层	24193	简单装修	150	维扬	五台山大桥	友谊路37号	2018年8月3日	https://yangzhou.anjuke.com/prop/view/A1350988935?from=filter&spread=commsearch_p&position=1877&kwtype=filter&now_time=1538808921
梅岭本部校区房 精装修带院子 无大税 距离梅岭本部很近	梅岭公馆	1998	2室2厅1卫	60	共4层	24166	精装修	145	邗江	汽车西站	马太巷	2018年9月18日	https://yangzhou.anjuke.com/prop/view/A1420025939?from=filter&spread=commsearch_p&position=923&kwtype=filter&now_time=1538808722
梅中梅小 工艺美术大楼后面 工人二村	工人二村151号小区	1995	3室1厅1卫	67	共4层	23880	简单装修	160	邗江	汽车西站	玉器街	2018年8月1日	https://yangzhou.anjuke.com/prop/view/A1347456873?from=filter&spread=commsearch_p&position=811&kwtype=filter&now_time=1538808697
梅中梅小 工艺美术大楼后面 工人二村	工人二村151号小区	1995	3室1厅1卫	67	共4层	23880	简单装修	160	邗江	汽车西站	玉器街	2018年8月1日	https://yangzhou.anjuke.com/prop/view/A1347456873?from=filter&spread=commsearch_p&position=1241&kwtype=filter&now_time=1538808786
京华城怡景苑下叠简装有大车库有院子紧邻御景苑奥都花城	京华怡景苑(别墅)	2010	3室2厅2卫	134	共2层	23880	简单装修	320	邗江	汽车西站	京华城路99号	2018年9月8日	https://yangzhou.anjuke.com/prop/view/A1404712473?from=filter&spread=commsearch_p&position=2653&kwtype=filter&now_time=1538809085
梅中梅小 工艺美术大楼后面 工人二村	工人二村151号小区	1995	3室1厅1卫	67	共4层	23880	简单装修	160	邗江	汽车西站	玉器街	2018年8月1日	https://yangzhou.anjuke.com/prop/view/A1347456873?from=filter&spread=commsearch_p&position=2243&kwtype=filter&now_time=1538808996
蓝湾国际豪装 含产权有车库车位基本未住 靠森林湖京华城橡树湾	恒通蓝湾国际	2016	3室2厅2卫	121	共5层	23801	豪华装修	288	邗江	京华城	兴城西路	2018年9月23日	https://yangzhou.anjuke.com/prop/view/A1427838338?from=filter&spread=commsearch_p&position=918&kwtype=filter&now_time=1538808722
京华城下叠出售，紧邻奥都，有院子，户型方正，采光好，交通方便	京华怡景苑(别墅)	2006	3室2厅2卫	135	共2层	23703	毛坯	320	邗江	汽车西站	京华城路99号	2018年9月8日	https://yangzhou.anjuke.com/prop/view/A1404704582?from=filter&spread=commsearch_p&position=2569&kwtype=filter&now_time=1538809059
新上房源名雅花苑，梅岭东苑一楼半，精致2房，难得小面积总价低	名雅花苑	2005	2室1厅1卫	67	共5层	23522	精装修	157.6	维扬	漕河	梅岭东路22号	2018年8月22日	https://yangzhou.anjuke.com/prop/view/A1378951749?from=filter&spread=commsearch_p&position=2013&kwtype=filter&now_time=1538808946
万科花园 四室两厅两卫户型好  环境优美	万科花园	2013	4室2厅2卫	144	共5层	23472	简单装修	338	邗江	京华城	江平东路	2018年9月16日	https://yangzhou.anjuke.com/prop/view/A1416170272?from=filter&spread=commsearch_p&position=939&kwtype=filter&now_time=1538808722
梅岭双校区 马太巷 窦庄新村 精装温馨三室 一楼有院子40平	玉器街84号小区	1999	3室1厅1卫	75	共5层	23466	精装修	176	邗江	汽车西站	玉器街84号	2018年9月12日	https://yangzhou.anjuke.com/prop/view/A1409817839?from=filter&spread=commsearch_p&position=538&kwtype=filter&now_time=1538808636
梅中对面马太巷扬大宿舍 一楼精装三房 院子40平已开门双校区	扬州市航道管理处宿舍	2000	3室1厅1卫	75	共5层	23466	精装修	176	邗江	汽车西站	马太巷15号	2018年8月15日	https://yangzhou.anjuke.com/prop/view/A1368578896?from=filter&spread=commsearch_p&position=1016&kwtype=filter&now_time=1538808735
梅中对面马太巷扬大宿舍 一楼精装三房 院子40平已开门双校区	扬州市航道管理处宿舍	2000	3室1厅1卫	75	共5层	23466	精装修	176	邗江	汽车西站	马太巷15号	2018年8月15日	https://yangzhou.anjuke.com/prop/view/A1368578896?from=filter&spread=commsearch_p&position=1052&kwtype=filter&now_time=1538808748
梅中对面马太巷扬大宿舍 一楼精装三房 院子40平已开门双校区	扬州市航道管理处宿舍	2000	3室1厅1卫	75	共5层	23466	精装修	176	邗江	汽车西站	马太巷15号	2018年8月15日	https://yangzhou.anjuke.com/prop/view/A1368578896?from=filter&spread=commsearch_p&position=1119&kwtype=filter&now_time=1538808761
梅中对面马太巷扬大宿舍 一楼精装三房 院子40平已开门双校区	扬州市航道管理处宿舍	2000	3室1厅1卫	75	共5层	23466	精装修	176	邗江	汽车西站	马太巷15号	2018年8月15日	https://yangzhou.anjuke.com/prop/view/A1368578896?from=filter&spread=commsearch_p&position=2421&kwtype=filter&now_time=1538809033
梅岭双校区 马太巷 窦庄新村 精装温馨三室 一楼有院子40平	玉器街84号小区	1999	3室1厅1卫	75	共5层	23466	精装修	176	邗江	汽车西站	玉器街84号	2018年9月12日	https://yangzhou.anjuke.com/prop/view/A1409817839?from=filter&spread=commsearch_p&position=1945&kwtype=filter&now_time=1538808934
梅岭双校区 马太巷 窦庄新村 精装温馨三室 一楼有院子40平	玉器街84号小区	1999	3室1厅1卫	75	共5层	23466	精装修	176	邗江	汽车西站	玉器街84号	2018年9月12日	https://yangzhou.anjuke.com/prop/view/A1409817839?from=filter&spread=commsearch_p&position=666&kwtype=filter&now_time=1538808674
梅岭双校区 马太巷 窦庄新村 精装温馨三室 一楼有院子40平	玉器街84号小区	1999	3室1厅1卫	75	共5层	23466	精装修	176	邗江	汽车西站	玉器街84号	2018年9月12日	https://yangzhou.anjuke.com/prop/view/A1409817839?from=filter&spread=commsearch_p&position=562&kwtype=filter&now_time=1538808648
拒绝虚假名门壹品一楼带30平院子三房纯毛坯248万无税不	名门壹品	2013	3室2厅1卫	106	低层(共10层)	23396	毛坯	248	邗江	京华城	京华城路363号	2018年8月18日	https://yangzhou.anjuke.com/prop/view/A1372497664?from=filter&spread=commsearch_p&position=936&kwtype=filter&now_time=1538808722
名雅花苑中装两室 邻莱茵苑 梅岭东苑 良友新苑 吉祥苑	名雅花苑	2008	2室2厅1卫	67	共5层	23283	精装修	156	维扬	漕河	梅岭东路22号	2018年9月22日	https://yangzhou.anjuke.com/prop/view/A1426432347?from=filter&spread=commsearch_p&position=1956&kwtype=filter&now_time=1538808934
名雅花园，梅岭中学，梅岭小学本部之间，阳光好，精致小户	名雅花苑	2009	2室1厅1卫	67	共5层	23164	精装修	155.2	维扬	漕河	梅岭东路22号	2018年8月28日	https://yangzhou.anjuke.com/prop/view/A1387891270?from=filter&spread=commsearch_p&position=1862&kwtype=filter&now_time=1538808921
万科花园精装3房 带大院子 拎包入住 家具家电全留 小区中心	万科花园	2014	3室2厅1卫	96	共1层	23125	精装修	222	邗江	京华城	江平东路	2018年8月9日	https://yangzhou.anjuke.com/prop/view/A1359969734?from=filter&spread=commsearch_p&position=2278&kwtype=filter&now_time=1538808996
锦旺南苑 飞机户型 红木地板 有汽车库 梅岭本部双校区房	锦旺南苑	2008	3室2厅2卫	125	共5层	23040	豪华装修	288	邗江	汽车西站	瘦西湖路31号	2018年9月13日	https://yangzhou.anjuke.com/prop/view/A1411831011?from=filter&spread=commsearch_p&position=2069&kwtype=filter&now_time=1538808958
远大优选梅岭双校区玉器街三房 精装好停车靠马太巷窦庄新村	玉器街28号小区	1990	3室2厅1卫	76	共5层	23026	简单装修	175	邗江	汽车西站	玉器街28号	2018年9月19日	https://yangzhou.anjuke.com/prop/view/A1422002512?from=filter&spread=commsearch_p&position=2516&kwtype=filter&now_time=1538809046
扬州天下旁万科花园96平小三居 豪装 带院子 部分家具家电	万科花园	2013	3室2厅1卫	96	共5层	22916	精装修	220	邗江	京华城	江平东路	2018年9月2日	https://yangzhou.anjuke.com/prop/view/A1395237786?from=filter&spread=commsearch_p&position=1234&kwtype=filter&now_time=1538808786
扬州天下旁万科花园96平小三居 豪装 带院子 部分家具家电	万科花园	2013	3室2厅1卫	96	共5层	22916	精装修	220	邗江	京华城	江平东路	2018年9月2日	https://yangzhou.anjuke.com/prop/view/A1395237786?from=filter&spread=commsearch_p&position=2233&kwtype=filter&now_time=1538808996
扬州天下旁万科花园96平小三居 豪装 带院子 部分家具家电	万科花园	2013	3室2厅1卫	96	共5层	22916	精装修	220	邗江	京华城	江平东路	2018年9月2日	https://yangzhou.anjuke.com/prop/view/A1395237786?from=filter&spread=commsearch_p&position=806&kwtype=filter&now_time=1538808697
梅岭本部双校区 梅岭新村 可分成2户 有院子 有自建可贷款	梅岭新村	1985	2室1厅1卫	69	共4层	22898	简单装修	158	维扬	城北乡	史可法西路	2018年9月9日	https://yangzhou.anjuke.com/prop/view/A1405796215?from=filter&spread=commsearch_p&position=1884&kwtype=filter&now_time=1538808921
汶河本部通泗街，精装修，无读书占用名额，临扬，树人，文昌阁。	通泗街8号小区	1996	3室1厅1卫	67	低层(共6层)	22686	精装修	152	广陵	文昌阁	通泗街8号	2018年9月19日	https://yangzhou.anjuke.com/prop/view/A1421815689?from=filter&spread=commsearch_p&position=1493&kwtype=filter&now_time=1538808835
华鼎星城，京华城，名门壹品，和美第，奥都华庭，蓝湾国际，	华鼎星城	2014	3室1厅1卫	113.6	高层(共24层)	22609	豪华装修	256.8	邗江	京华城	京华城路339号	2018年9月5日	https://yangzhou.anjuke.com/prop/view/A1400244360?from=filter&spread=commsearch_p&position=1667&kwtype=filter&now_time=1538808871
注意啦（专业精神）锦旺苑梅岭双校区 采光充足 出门就是街	锦旺苑小区	2004	2室1厅1卫	70	共4层	22571	精装修	158	维扬	五台山大桥	友谊路37号	2018年8月26日	https://yangzhou.anjuke.com/prop/view/A1384540865?from=filter&spread=commsearch_p&position=1996&kwtype=filter&now_time=1538808946
锦旺巷 梅岭双校区 中高装清爽有车库可贷款入户 楼层佳采光好	玉带河小区(北区)	1997	2室1厅1卫	70	共4层	22571	精装修	158	广陵	文昌阁	锦旺巷	2018年7月26日	https://yangzhou.anjuke.com/prop/view/A1339255169?from=filter&spread=commsearch_p&position=1802&kwtype=filter&now_time=1538808908
